text,labels
126 337 170 [SEP] [MASK] [MASK],337 170
24 145 333 [SEP] [MASK] [MASK],333 145
32 228 156 [SEP] [MASK] [MASK],228 156
85 74 258 [SEP] [MASK] [MASK],258 85
121 224 300 [SEP] [MASK] [MASK],300 224
313 308 175 [SEP] [MASK] [MASK],313 308
296 158 107 [SEP] [MASK] [MASK],296 158
160 245 222 [SEP] [MASK] [MASK],245 222
252 81 158 [SEP] [MASK] [MASK],252 158
232 64 199 [SEP] [MASK] [MASK],232 199
330 175 237 [SEP] [MASK] [MASK],330 237
256 280 34 [SEP] [MASK] [MASK],280 256
2 118 326 [SEP] [MASK] [MASK],326 118
130 174 159 [SEP] [MASK] [MASK],174 159
327 213 271 [SEP] [MASK] [MASK],327 271
248 223 260 [SEP] [MASK] [MASK],260 248
185 223 314 [SEP] [MASK] [MASK],314 223
16 94 96 [SEP] [MASK] [MASK],96 94
174 256 321 [SEP] [MASK] [MASK],321 256
309 94 172 [SEP] [MASK] [MASK],309 172
163 109 271 [SEP] [MASK] [MASK],271 163
266 112 265 [SEP] [MASK] [MASK],266 265
36 190 104 [SEP] [MASK] [MASK],190 104
136 304 171 [SEP] [MASK] [MASK],304 171
171 305 324 [SEP] [MASK] [MASK],324 305
122 202 2 [SEP] [MASK] [MASK],202 122
299 175 320 [SEP] [MASK] [MASK],320 299
151 303 52 [SEP] [MASK] [MASK],303 151
274 183 43 [SEP] [MASK] [MASK],274 183
164 325 277 [SEP] [MASK] [MASK],325 277
230 97 39 [SEP] [MASK] [MASK],230 97
218 2 124 [SEP] [MASK] [MASK],218 124
296 170 101 [SEP] [MASK] [MASK],296 170
12 289 156 [SEP] [MASK] [MASK],289 156
229 13 78 [SEP] [MASK] [MASK],229 78
190 47 157 [SEP] [MASK] [MASK],190 157
242 225 236 [SEP] [MASK] [MASK],242 236
319 100 290 [SEP] [MASK] [MASK],319 290
228 127 251 [SEP] [MASK] [MASK],251 228
276 6 167 [SEP] [MASK] [MASK],276 167
103 81 240 [SEP] [MASK] [MASK],240 103
190 320 199 [SEP] [MASK] [MASK],320 199
158 103 89 [SEP] [MASK] [MASK],158 103
285 79 45 [SEP] [MASK] [MASK],285 79
165 306 281 [SEP] [MASK] [MASK],306 281
132 98 99 [SEP] [MASK] [MASK],132 99
35 124 81 [SEP] [MASK] [MASK],124 81
119 262 290 [SEP] [MASK] [MASK],290 262
69 171 286 [SEP] [MASK] [MASK],286 171
211 171 301 [SEP] [MASK] [MASK],301 211
247 78 336 [SEP] [MASK] [MASK],336 247
158 318 242 [SEP] [MASK] [MASK],318 242
210 289 233 [SEP] [MASK] [MASK],289 233
42 178 78 [SEP] [MASK] [MASK],178 78
150 315 322 [SEP] [MASK] [MASK],322 315
109 334 138 [SEP] [MASK] [MASK],334 138
43 144 109 [SEP] [MASK] [MASK],144 109
162 110 211 [SEP] [MASK] [MASK],211 162
251 254 289 [SEP] [MASK] [MASK],289 254
214 115 283 [SEP] [MASK] [MASK],283 214
134 145 320 [SEP] [MASK] [MASK],320 145
121 169 279 [SEP] [MASK] [MASK],279 169
282 126 121 [SEP] [MASK] [MASK],282 126
39 172 132 [SEP] [MASK] [MASK],172 132
310 122 148 [SEP] [MASK] [MASK],310 148
59 3 119 [SEP] [MASK] [MASK],119 59
281 19 15 [SEP] [MASK] [MASK],281 19
327 202 287 [SEP] [MASK] [MASK],327 287
274 53 134 [SEP] [MASK] [MASK],274 134
48 308 288 [SEP] [MASK] [MASK],308 288
269 184 218 [SEP] [MASK] [MASK],269 218
135 295 229 [SEP] [MASK] [MASK],295 229
280 200 5 [SEP] [MASK] [MASK],280 200
53 201 175 [SEP] [MASK] [MASK],201 175
28 312 47 [SEP] [MASK] [MASK],312 47
191 315 92 [SEP] [MASK] [MASK],315 191
45 85 93 [SEP] [MASK] [MASK],93 85
332 51 290 [SEP] [MASK] [MASK],332 290
180 47 161 [SEP] [MASK] [MASK],180 161
206 102 127 [SEP] [MASK] [MASK],206 127
173 72 283 [SEP] [MASK] [MASK],283 173
337 123 171 [SEP] [MASK] [MASK],337 171
293 238 189 [SEP] [MASK] [MASK],293 238
183 134 268 [SEP] [MASK] [MASK],268 183
123 330 234 [SEP] [MASK] [MASK],330 234
306 156 246 [SEP] [MASK] [MASK],306 246
11 137 224 [SEP] [MASK] [MASK],224 137
328 64 152 [SEP] [MASK] [MASK],328 152
281 20 110 [SEP] [MASK] [MASK],281 110
56 127 174 [SEP] [MASK] [MASK],174 127
201 174 227 [SEP] [MASK] [MASK],227 201
256 193 94 [SEP] [MASK] [MASK],256 193
145 194 246 [SEP] [MASK] [MASK],246 194
246 175 282 [SEP] [MASK] [MASK],282 246
48 29 195 [SEP] [MASK] [MASK],195 48
296 238 111 [SEP] [MASK] [MASK],296 238
217 313 82 [SEP] [MASK] [MASK],313 217
104 59 250 [SEP] [MASK] [MASK],250 104
206 233 26 [SEP] [MASK] [MASK],233 206
117 339 14 [SEP] [MASK] [MASK],339 117
217 177 204 [SEP] [MASK] [MASK],217 204
137 164 235 [SEP] [MASK] [MASK],235 164
39 298 243 [SEP] [MASK] [MASK],298 243
18 311 135 [SEP] [MASK] [MASK],311 135
148 92 37 [SEP] [MASK] [MASK],148 92
104 161 7 [SEP] [MASK] [MASK],161 104
141 305 144 [SEP] [MASK] [MASK],305 144
53 27 149 [SEP] [MASK] [MASK],149 53
238 109 99 [SEP] [MASK] [MASK],238 109
145 189 262 [SEP] [MASK] [MASK],262 189
153 127 252 [SEP] [MASK] [MASK],252 153
198 330 101 [SEP] [MASK] [MASK],330 198
298 212 218 [SEP] [MASK] [MASK],298 218
196 274 140 [SEP] [MASK] [MASK],274 196
202 108 281 [SEP] [MASK] [MASK],281 202
313 241 90 [SEP] [MASK] [MASK],313 241
282 8 140 [SEP] [MASK] [MASK],282 140
60 158 186 [SEP] [MASK] [MASK],186 158
76 213 286 [SEP] [MASK] [MASK],286 213
111 236 125 [SEP] [MASK] [MASK],236 125
82 283 185 [SEP] [MASK] [MASK],283 185
309 249 224 [SEP] [MASK] [MASK],309 249
231 224 213 [SEP] [MASK] [MASK],231 224
6 294 105 [SEP] [MASK] [MASK],294 105
182 312 282 [SEP] [MASK] [MASK],312 282
56 288 222 [SEP] [MASK] [MASK],288 222
96 3 274 [SEP] [MASK] [MASK],274 96
51 295 5 [SEP] [MASK] [MASK],295 51
259 156 114 [SEP] [MASK] [MASK],259 156
93 202 191 [SEP] [MASK] [MASK],202 191
62 331 179 [SEP] [MASK] [MASK],331 179
210 68 152 [SEP] [MASK] [MASK],210 152
52 302 210 [SEP] [MASK] [MASK],302 210
216 191 58 [SEP] [MASK] [MASK],216 191
71 258 297 [SEP] [MASK] [MASK],297 258
103 218 60 [SEP] [MASK] [MASK],218 103
161 221 196 [SEP] [MASK] [MASK],221 196
11 58 121 [SEP] [MASK] [MASK],121 58
300 163 213 [SEP] [MASK] [MASK],300 213
77 207 95 [SEP] [MASK] [MASK],207 95
63 221 165 [SEP] [MASK] [MASK],221 165
66 202 73 [SEP] [MASK] [MASK],202 73
225 232 32 [SEP] [MASK] [MASK],232 225
292 67 30 [SEP] [MASK] [MASK],292 67
297 62 85 [SEP] [MASK] [MASK],297 85
311 61 252 [SEP] [MASK] [MASK],311 252
233 71 99 [SEP] [MASK] [MASK],233 99
267 230 228 [SEP] [MASK] [MASK],267 230
119 229 191 [SEP] [MASK] [MASK],229 191
135 321 286 [SEP] [MASK] [MASK],321 286
242 196 45 [SEP] [MASK] [MASK],242 196
304 326 273 [SEP] [MASK] [MASK],326 304
288 145 114 [SEP] [MASK] [MASK],288 145
303 324 156 [SEP] [MASK] [MASK],324 303
156 189 241 [SEP] [MASK] [MASK],241 189
171 329 135 [SEP] [MASK] [MASK],329 171
28 140 215 [SEP] [MASK] [MASK],215 140
258 8 268 [SEP] [MASK] [MASK],268 258
276 69 1 [SEP] [MASK] [MASK],276 69
209 227 128 [SEP] [MASK] [MASK],227 209
97 63 38 [SEP] [MASK] [MASK],97 63
139 158 243 [SEP] [MASK] [MASK],243 158
147 46 289 [SEP] [MASK] [MASK],289 147
308 313 237 [SEP] [MASK] [MASK],313 308
187 98 213 [SEP] [MASK] [MASK],213 187
262 284 304 [SEP] [MASK] [MASK],304 284
227 22 47 [SEP] [MASK] [MASK],227 47
120 202 307 [SEP] [MASK] [MASK],307 202
61 35 326 [SEP] [MASK] [MASK],326 61
322 159 244 [SEP] [MASK] [MASK],322 244
74 237 137 [SEP] [MASK] [MASK],237 137
31 62 226 [SEP] [MASK] [MASK],226 62
146 233 188 [SEP] [MASK] [MASK],233 188
121 136 195 [SEP] [MASK] [MASK],195 136
328 116 222 [SEP] [MASK] [MASK],328 222
278 285 326 [SEP] [MASK] [MASK],326 285
141 145 173 [SEP] [MASK] [MASK],173 145
177 67 314 [SEP] [MASK] [MASK],314 177
198 325 183 [SEP] [MASK] [MASK],325 198
326 146 266 [SEP] [MASK] [MASK],326 266
329 268 270 [SEP] [MASK] [MASK],329 270
181 214 319 [SEP] [MASK] [MASK],319 214
226 162 243 [SEP] [MASK] [MASK],243 226
180 260 219 [SEP] [MASK] [MASK],260 219
225 140 112 [SEP] [MASK] [MASK],225 140
20 48 82 [SEP] [MASK] [MASK],82 48
331 69 314 [SEP] [MASK] [MASK],331 314
13 295 258 [SEP] [MASK] [MASK],295 258
38 252 156 [SEP] [MASK] [MASK],252 156
259 31 318 [SEP] [MASK] [MASK],318 259
16 156 337 [SEP] [MASK] [MASK],337 156
269 69 234 [SEP] [MASK] [MASK],269 234
134 139 94 [SEP] [MASK] [MASK],139 134
96 86 229 [SEP] [MASK] [MASK],229 96
53 320 76 [SEP] [MASK] [MASK],320 76
141 69 77 [SEP] [MASK] [MASK],141 77
211 319 158 [SEP] [MASK] [MASK],319 211
160 141 62 [SEP] [MASK] [MASK],160 141
45 206 154 [SEP] [MASK] [MASK],206 154
73 196 308 [SEP] [MASK] [MASK],308 196
228 339 230 [SEP] [MASK] [MASK],339 230
304 320 152 [SEP] [MASK] [MASK],320 304
325 308 102 [SEP] [MASK] [MASK],325 308
237 119 67 [SEP] [MASK] [MASK],237 119
15 141 172 [SEP] [MASK] [MASK],172 141
311 162 247 [SEP] [MASK] [MASK],311 247
73 301 61 [SEP] [MASK] [MASK],301 73
41 219 38 [SEP] [MASK] [MASK],219 41
124 232 338 [SEP] [MASK] [MASK],338 232
277 241 240 [SEP] [MASK] [MASK],277 241
244 242 251 [SEP] [MASK] [MASK],251 244
130 60 334 [SEP] [MASK] [MASK],334 130
243 237 194 [SEP] [MASK] [MASK],243 237
92 129 32 [SEP] [MASK] [MASK],129 92
6 145 273 [SEP] [MASK] [MASK],273 145
40 334 191 [SEP] [MASK] [MASK],334 191
186 328 125 [SEP] [MASK] [MASK],328 186
114 281 273 [SEP] [MASK] [MASK],281 273
239 285 114 [SEP] [MASK] [MASK],285 239
8 155 73 [SEP] [MASK] [MASK],155 73
23 47 228 [SEP] [MASK] [MASK],228 47
162 313 109 [SEP] [MASK] [MASK],313 162
163 15 305 [SEP] [MASK] [MASK],305 163
139 54 112 [SEP] [MASK] [MASK],139 112
331 109 150 [SEP] [MASK] [MASK],331 150
136 145 320 [SEP] [MASK] [MASK],320 145
9 310 322 [SEP] [MASK] [MASK],322 310
7 136 297 [SEP] [MASK] [MASK],297 136
293 169 296 [SEP] [MASK] [MASK],296 293
179 125 329 [SEP] [MASK] [MASK],329 179
154 162 8 [SEP] [MASK] [MASK],162 154
131 195 10 [SEP] [MASK] [MASK],195 131
178 176 265 [SEP] [MASK] [MASK],265 178
4 300 76 [SEP] [MASK] [MASK],300 76
324 192 168 [SEP] [MASK] [MASK],324 192
240 113 304 [SEP] [MASK] [MASK],304 240
92 41 128 [SEP] [MASK] [MASK],128 92
189 71 78 [SEP] [MASK] [MASK],189 78
187 293 83 [SEP] [MASK] [MASK],293 187
215 39 297 [SEP] [MASK] [MASK],297 215
102 11 292 [SEP] [MASK] [MASK],292 102
280 37 218 [SEP] [MASK] [MASK],280 218
86 277 12 [SEP] [MASK] [MASK],277 86
225 216 116 [SEP] [MASK] [MASK],225 216
205 251 234 [SEP] [MASK] [MASK],251 234
80 238 332 [SEP] [MASK] [MASK],332 238
129 329 61 [SEP] [MASK] [MASK],329 129
154 107 291 [SEP] [MASK] [MASK],291 154
87 326 323 [SEP] [MASK] [MASK],326 323
269 149 268 [SEP] [MASK] [MASK],269 268
210 197 318 [SEP] [MASK] [MASK],318 210
201 113 122 [SEP] [MASK] [MASK],201 122
124 216 139 [SEP] [MASK] [MASK],216 139
326 264 4 [SEP] [MASK] [MASK],326 264
232 208 336 [SEP] [MASK] [MASK],336 232
330 179 172 [SEP] [MASK] [MASK],330 179
166 235 128 [SEP] [MASK] [MASK],235 166
140 239 7 [SEP] [MASK] [MASK],239 140
178 325 143 [SEP] [MASK] [MASK],325 178
217 282 204 [SEP] [MASK] [MASK],282 217
286 132 270 [SEP] [MASK] [MASK],286 270
293 34 24 [SEP] [MASK] [MASK],293 34
152 188 177 [SEP] [MASK] [MASK],188 177
53 241 329 [SEP] [MASK] [MASK],329 241
219 109 241 [SEP] [MASK] [MASK],241 219
42 49 235 [SEP] [MASK] [MASK],235 49
172 67 260 [SEP] [MASK] [MASK],260 172
205 152 78 [SEP] [MASK] [MASK],205 152
202 88 76 [SEP] [MASK] [MASK],202 88
144 40 175 [SEP] [MASK] [MASK],175 144
196 206 74 [SEP] [MASK] [MASK],206 196
270 326 107 [SEP] [MASK] [MASK],326 270
330 206 99 [SEP] [MASK] [MASK],330 206
51 234 246 [SEP] [MASK] [MASK],246 234
228 263 299 [SEP] [MASK] [MASK],299 263
153 28 103 [SEP] [MASK] [MASK],153 103
9 220 285 [SEP] [MASK] [MASK],285 220
204 39 234 [SEP] [MASK] [MASK],234 204
14 283 1 [SEP] [MASK] [MASK],283 14
215 99 337 [SEP] [MASK] [MASK],337 215
36 331 30 [SEP] [MASK] [MASK],331 36
214 254 114 [SEP] [MASK] [MASK],254 214
100 314 294 [SEP] [MASK] [MASK],314 294
198 278 105 [SEP] [MASK] [MASK],278 198
90 112 158 [SEP] [MASK] [MASK],158 112
24 171 207 [SEP] [MASK] [MASK],207 171
145 50 211 [SEP] [MASK] [MASK],211 145
280 77 82 [SEP] [MASK] [MASK],280 82
267 300 92 [SEP] [MASK] [MASK],300 267
198 147 212 [SEP] [MASK] [MASK],212 198
17 36 318 [SEP] [MASK] [MASK],318 36
22 333 320 [SEP] [MASK] [MASK],333 320
279 80 131 [SEP] [MASK] [MASK],279 131
95 130 31 [SEP] [MASK] [MASK],130 95
157 68 91 [SEP] [MASK] [MASK],157 91
317 133 170 [SEP] [MASK] [MASK],317 170
211 192 104 [SEP] [MASK] [MASK],211 192
15 1 255 [SEP] [MASK] [MASK],255 15
309 41 47 [SEP] [MASK] [MASK],309 47
286 102 19 [SEP] [MASK] [MASK],286 102
90 28 183 [SEP] [MASK] [MASK],183 90
9 50 79 [SEP] [MASK] [MASK],79 50
217 224 89 [SEP] [MASK] [MASK],224 217
51 318 333 [SEP] [MASK] [MASK],333 318
69 228 97 [SEP] [MASK] [MASK],228 97
21 99 61 [SEP] [MASK] [MASK],99 61
266 128 68 [SEP] [MASK] [MASK],266 128
29 88 246 [SEP] [MASK] [MASK],246 88
36 231 130 [SEP] [MASK] [MASK],231 130
132 68 146 [SEP] [MASK] [MASK],146 132
70 211 243 [SEP] [MASK] [MASK],243 211
1 148 330 [SEP] [MASK] [MASK],330 148
205 325 74 [SEP] [MASK] [MASK],325 205
76 304 156 [SEP] [MASK] [MASK],304 156
202 221 136 [SEP] [MASK] [MASK],221 202
32 196 253 [SEP] [MASK] [MASK],253 196
161 290 202 [SEP] [MASK] [MASK],290 202
262 36 53 [SEP] [MASK] [MASK],262 53
249 164 250 [SEP] [MASK] [MASK],250 249
214 45 213 [SEP] [MASK] [MASK],214 213
203 147 190 [SEP] [MASK] [MASK],203 190
308 226 124 [SEP] [MASK] [MASK],308 226
319 91 26 [SEP] [MASK] [MASK],319 91
6 321 22 [SEP] [MASK] [MASK],321 22
50 267 231 [SEP] [MASK] [MASK],267 231
248 206 123 [SEP] [MASK] [MASK],248 206
256 26 227 [SEP] [MASK] [MASK],256 227
254 71 86 [SEP] [MASK] [MASK],254 86
190 119 282 [SEP] [MASK] [MASK],282 190
176 143 68 [SEP] [MASK] [MASK],176 143
36 144 181 [SEP] [MASK] [MASK],181 144
268 178 153 [SEP] [MASK] [MASK],268 178
111 147 177 [SEP] [MASK] [MASK],177 147
94 75 263 [SEP] [MASK] [MASK],263 94
227 187 178 [SEP] [MASK] [MASK],227 187
189 233 299 [SEP] [MASK] [MASK],299 233
205 87 17 [SEP] [MASK] [MASK],205 87
148 80 104 [SEP] [MASK] [MASK],148 104
202 85 153 [SEP] [MASK] [MASK],202 153
77 67 160 [SEP] [MASK] [MASK],160 77
63 273 246 [SEP] [MASK] [MASK],273 246
159 149 216 [SEP] [MASK] [MASK],216 159
146 299 55 [SEP] [MASK] [MASK],299 146
42 220 91 [SEP] [MASK] [MASK],220 91
252 120 19 [SEP] [MASK] [MASK],252 120
198 267 24 [SEP] [MASK] [MASK],267 198
304 158 332 [SEP] [MASK] [MASK],332 304
136 172 191 [SEP] [MASK] [MASK],191 172
271 175 89 [SEP] [MASK] [MASK],271 175
207 195 83 [SEP] [MASK] [MASK],207 195
103 50 20 [SEP] [MASK] [MASK],103 50
33 297 95 [SEP] [MASK] [MASK],297 95
12 128 67 [SEP] [MASK] [MASK],128 67
99 202 42 [SEP] [MASK] [MASK],202 99
300 37 61 [SEP] [MASK] [MASK],300 61
43 93 3 [SEP] [MASK] [MASK],93 43
13 41 147 [SEP] [MASK] [MASK],147 41
64 89 327 [SEP] [MASK] [MASK],327 89
285 5 49 [SEP] [MASK] [MASK],285 49
22 268 50 [SEP] [MASK] [MASK],268 50
271 119 5 [SEP] [MASK] [MASK],271 119
66 41 119 [SEP] [MASK] [MASK],119 66
203 118 204 [SEP] [MASK] [MASK],204 203
260 284 304 [SEP] [MASK] [MASK],304 284
67 180 195 [SEP] [MASK] [MASK],195 180
150 98 338 [SEP] [MASK] [MASK],338 150
234 32 224 [SEP] [MASK] [MASK],234 224
203 180 82 [SEP] [MASK] [MASK],203 180
209 93 102 [SEP] [MASK] [MASK],209 102
338 251 141 [SEP] [MASK] [MASK],338 251
112 18 62 [SEP] [MASK] [MASK],112 62
14 84 300 [SEP] [MASK] [MASK],300 84
36 138 311 [SEP] [MASK] [MASK],311 138
178 260 111 [SEP] [MASK] [MASK],260 178
130 229 320 [SEP] [MASK] [MASK],320 229
92 267 255 [SEP] [MASK] [MASK],267 255
18 219 151 [SEP] [MASK] [MASK],219 151
59 71 162 [SEP] [MASK] [MASK],162 71
239 274 5 [SEP] [MASK] [MASK],274 239
154 192 306 [SEP] [MASK] [MASK],306 192
107 333 148 [SEP] [MASK] [MASK],333 148
50 147 205 [SEP] [MASK] [MASK],205 147
184 265 285 [SEP] [MASK] [MASK],285 265
18 221 223 [SEP] [MASK] [MASK],223 221
6 222 94 [SEP] [MASK] [MASK],222 94
44 31 334 [SEP] [MASK] [MASK],334 44
11 6 116 [SEP] [MASK] [MASK],116 11
78 254 83 [SEP] [MASK] [MASK],254 83
79 288 121 [SEP] [MASK] [MASK],288 121
142 79 90 [SEP] [MASK] [MASK],142 90
219 333 237 [SEP] [MASK] [MASK],333 237
308 64 41 [SEP] [MASK] [MASK],308 64
208 321 176 [SEP] [MASK] [MASK],321 208
149 312 24 [SEP] [MASK] [MASK],312 149
12 52 319 [SEP] [MASK] [MASK],319 52
74 196 261 [SEP] [MASK] [MASK],261 196
198 209 193 [SEP] [MASK] [MASK],209 198
42 185 330 [SEP] [MASK] [MASK],330 185
52 109 78 [SEP] [MASK] [MASK],109 78
277 37 117 [SEP] [MASK] [MASK],277 117
243 116 8 [SEP] [MASK] [MASK],243 116
104 278 132 [SEP] [MASK] [MASK],278 132
5 64 150 [SEP] [MASK] [MASK],150 64
71 219 52 [SEP] [MASK] [MASK],219 71
160 130 147 [SEP] [MASK] [MASK],160 147
80 241 263 [SEP] [MASK] [MASK],263 241
137 121 247 [SEP] [MASK] [MASK],247 137
27 335 230 [SEP] [MASK] [MASK],335 230
315 99 328 [SEP] [MASK] [MASK],328 315
163 109 275 [SEP] [MASK] [MASK],275 163
81 281 25 [SEP] [MASK] [MASK],281 81
55 281 264 [SEP] [MASK] [MASK],281 264
335 313 269 [SEP] [MASK] [MASK],335 313
308 149 71 [SEP] [MASK] [MASK],308 149
287 223 71 [SEP] [MASK] [MASK],287 223
296 179 130 [SEP] [MASK] [MASK],296 179
16 205 191 [SEP] [MASK] [MASK],205 191
253 212 271 [SEP] [MASK] [MASK],271 253
277 18 6 [SEP] [MASK] [MASK],277 18
341 261 16 [SEP] [MASK] [MASK],341 261
179 302 211 [SEP] [MASK] [MASK],302 211
155 338 298 [SEP] [MASK] [MASK],338 298
107 69 53 [SEP] [MASK] [MASK],107 69
271 281 88 [SEP] [MASK] [MASK],281 271
220 79 164 [SEP] [MASK] [MASK],220 164
258 244 23 [SEP] [MASK] [MASK],258 244
329 337 177 [SEP] [MASK] [MASK],337 329
254 330 291 [SEP] [MASK] [MASK],330 291
185 256 304 [SEP] [MASK] [MASK],304 256
231 244 300 [SEP] [MASK] [MASK],300 244
110 217 195 [SEP] [MASK] [MASK],217 195
129 187 60 [SEP] [MASK] [MASK],187 129
216 230 246 [SEP] [MASK] [MASK],246 230
10 213 206 [SEP] [MASK] [MASK],213 206
204 156 177 [SEP] [MASK] [MASK],204 177
305 67 316 [SEP] [MASK] [MASK],316 305
260 60 170 [SEP] [MASK] [MASK],260 170
19 89 160 [SEP] [MASK] [MASK],160 89
307 65 20 [SEP] [MASK] [MASK],307 65
35 222 322 [SEP] [MASK] [MASK],322 222
157 126 299 [SEP] [MASK] [MASK],299 157
112 21 126 [SEP] [MASK] [MASK],126 112
322 258 191 [SEP] [MASK] [MASK],322 258
109 256 63 [SEP] [MASK] [MASK],256 109
302 328 258 [SEP] [MASK] [MASK],328 302
72 280 161 [SEP] [MASK] [MASK],280 161
217 104 70 [SEP] [MASK] [MASK],217 104
77 44 205 [SEP] [MASK] [MASK],205 77
57 251 316 [SEP] [MASK] [MASK],316 251
304 205 266 [SEP] [MASK] [MASK],304 266
229 305 204 [SEP] [MASK] [MASK],305 229
18 329 113 [SEP] [MASK] [MASK],329 113
217 287 320 [SEP] [MASK] [MASK],320 287
29 84 277 [SEP] [MASK] [MASK],277 84
71 157 123 [SEP] [MASK] [MASK],157 123
93 72 243 [SEP] [MASK] [MASK],243 93
331 306 253 [SEP] [MASK] [MASK],331 306
295 264 291 [SEP] [MASK] [MASK],295 291
301 167 320 [SEP] [MASK] [MASK],320 301
235 212 108 [SEP] [MASK] [MASK],235 212
191 341 28 [SEP] [MASK] [MASK],341 191
92 45 296 [SEP] [MASK] [MASK],296 92
